 children, income,numHandsets,handsetAge,smartPhone,currentHandsetPrice, creditRating,homeOwner, creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn,,,,
 false,0,1,183, true,0, E, true, false,59.77,472.75,55.49,2.5,0,26,4.5188,170,7,3.33,0.623417105,13.16871951,6.67,6,2.33,0,0,0, true,,+AC0-24.355,+AC0-3.0816,+AC0-28.15401631
 false,0,1,184, true,0, B, true, false,47.23,720,49.99,16.25,0,26.14,4.5638,43.99,20.67,2.67,1.180018002,13.32179006,6.67,6,4.67,0,0,0, false,,+AC0-24.215,+AC0-3.0366,+AC0-28.00094576
 true,6,1,184, true,0, C, false, true,82.16,448.75,39.99,123.5,0,26.23,4.5824,101.68,28.67,4.33,0.922388894,13.47322514,7,6,0,0,0,0, true,,+AC0-24.125,+AC0-3.018,+AC0-27.84951068
 false,0,1,182, true,0, A, true, false,67,261.75,29.99,88.25,0,26.505,4.6,30.02,13.67,4,1.733333333,13.81379722,7,6,0,0,0,0, true,,+AC0-23.85,+AC0-3.0004,+AC0-27.5089386
 false,4,1,184, true,0, B, false, true,50.94,857.25,59.99,0,0,26.535,4.6612,357.7,67.33,5.67,1.037890097,13.8216128,7,6,1,0,0,0, false,,+AC0-23.82,+AC0-2.9392,+AC0-27.50112302
 false,7,1,184, true,0, G, false, true,59.12,499.75,58.06,0,0,26.65,4.737,109.98,40.33,9,1.165135135,13.85610351,7,6,2.67,0,0,1, false,,+AC0-23.705,+AC0-2.8634,+AC0-27.46663231
 false,3,1,191, true,0, B, false, true,36.29,141,44.99,3.25,0,26.765,4.7546,17.72,3,0,3.872216844,13.89049696,7,6,0,0,0,0, false,,+AC0-23.59,+AC0-2.8458,+AC0-27.43223886
 false,6,1,194, false,0, C, false, true,35.48,262.25,29.99,13.5,0,26.765,4.8188,70.36,15,1,0.6568436,13.96158651,7.33,6,2.67,0,0,0, true,,+AC0-23.59,+AC0-2.7816,+AC0-27.36114931
 false,0,3,89, true,149.99, E, true, false,46.42,897.75,41.37,30.5,0,26.805,4.8514,359.2,14,0.33,1.206335886,14.02348117,7.33,6,4,0,0,0, true,,+AC0-23.55,+AC0-2.749,+AC0-27.29925465
 false,8,1,193, true,0, E, false, true,33.39,115.75,29.99,0,0.2,26.945,4.8538,23.95,0.67,1.33,1.583902584,14.06757038,7.33,6,0,0,0,0, false,,+AC0-23.41,+AC0-2.7466,+AC0-27.25516544
 false,3,1,187, true,0, E, false, true,46.73,609,54.99,3.5,0,26.945,4.8708,60.16,27.67,9.67,0.802536645,14.17326343,7.67,6,14.67,0,0,0, false,,+AC0-23.41,+AC0-2.7296,+AC0-27.14947239
 false,6,1,195, true,0, D, false, true,94.86,1637.5,94.99,16.5,0.1,26.99,4.8712,513.24,78.33,64.33,1.231918754,14.24211387,7.67,6,0,0,0,0, false,,+AC0-23.365,+AC0-2.7292,+AC0-27.08062195
 true,7,2,170, true,199.99, B, false, false,111.28,710.75,79.99,112.75,0.74,27.265,4.8754,115.75,15,6.33,2.326530612,14.27207658,7.67,6,0.67,0,0,0, false,,+AC0-23.09,+AC0-2.725,+AC0-27.05065924
 false,7,1,192, true,0, B, false, true,87.71,912.5,94.99,0,0,27.445,4.8918,165.14,37.33,2,3.703703704,14.3218501,8,6,0,0,0,0, false,,+AC0-22.91,+AC0-2.7086,+AC0-27.00088572
 true,4,1,190, true,0, B, false, true,42.78,240.5,44.87,5.5,1.39,27.665,4.8996,49.01,9.67,4,1.26456732,14.34341407,8.33,6,0,0,0,0, false,,+AC0-22.69,+AC0-2.7008,+AC0-26.97932175
 false,6,1,190, true,0, E, false, true,76.53,564.5,59.99,59.5,1.15,28.045,4.901,90.21,23.67,2.33,1.768386389,14.42373026,8.33,6,1,0,0,3, true,,+AC0-22.31,+AC0-2.6994,+AC0-26.89900556
 false,2,1,184, true,0, B, false, true,39.99,294.5,49.99,0,0,28.105,4.994,19.45,8.33,1,0.542266667,14.4329862,8.67,6,11.33,0,0,0, false,,+AC0-22.25,+AC0-2.6064,+AC0-26.88974962
 false,6,2,100, true,149.99, C, false, true,186.25,1101.5,10,398,0.1,28.21,5.004,227.43,122.33,38.67,1.489480125,14.47595869,9,6,0.33,0,0,0, true,,+AC0-22.145,+AC0-2.5964,+AC0-26.84677713
 true,7,1,187, true,0, B, true, true,46.23,743,54.99,21,0.58,28.225,5.0076,67.88,3,1,0.956140351,14.51734977,9.33,6,19.67,0,0,0, false,,+AC0-22.13,+AC0-2.5928,+AC0-26.80538605
 false,6,1,190, true,0, B, false, true,53.16,461,89.99,0,0,28.275,5.0446,49.7,24.67,4.33,0.873875049,14.5622757,10,6,0,0,0,0, false,,+AC0-22.08,+AC0-2.5558,+AC0-26.76046012
 false,0,2,115, true,29.99, B, true, false,30.51,189.25,39.99,0,0,28.455,5.0562,61.83,11,18,1.956149027,14.57545561,10,6,3.67,0,0,0, false,,+AC0-21.9,+AC0-2.5442,+AC0-26.74728021
 true,6,1,191, true,0, C, true, true,53.44,193.25,69.99,0,0,28.5,5.058,38.58,37,11.67,1.825763832,14.57753295,10,6,0,0,0,0, false,,+AC0-21.855,+AC0-2.5424,+AC0-26.74520287
 true,1,1,188, true,0, B, false, true,90.88,247.75,29.57,105.75,0,28.52,5.064,61.79,16.33,0.67,0.554377955,14.69309976,10.67,6,2.67,0,0,0, true,,+AC0-21.835,+AC0-2.5364,+AC0-26.62963606
 false,5,1,190, true,0, B, false, false,82.27,815.75,69.99,62,0,28.64,5.0726,243.16,50.67,0.67,1.18873494,14.70832354,11,6,0.33,0,0,0, true,,+AC0-21.715,+AC0-2.5278,+AC0-26.61441228
 false,6,2,5, true,129.99, E, false, true,43.99,694,49.99,0,0,28.695,5.0808,137.02,27.67,4.33,0.700275229,14.76198393,11.33,6,1.33,0,0,0, false,,+AC0-21.66,+AC0-2.5196,+AC0-26.56075189
 true,9,1,190, true,0, B, false, true,61.02,715.75,10,201.25,0,28.755,5.085,177.55,34.67,5.67,1.190049549,14.86354188,11.33,6,0,0,0,0, false,,+AC0-21.6,+AC0-2.5154,+AC0-26.45919394
 true,5,2,181, true,129.99, A, false, false,62.87,1211.75,44.99,74.5,0,29.03,5.0894,500.8,20,17.67,1.162899613,15.12604142,11.67,6,0.33,0,0,0, false,,+AC0-21.325,+AC0-2.511,+AC0-26.1966944
 false,5,1,188, true,0, E, false, true,77.62,1067.25,36.49,46,33.57,29.19,5.102,124.59,18.33,25.67,0.818161716,15.14993641,11.67,6,6,0,0,0, false,,+AC0-21.165,+AC0-2.4984,+AC0-26.17279941
 false,5,1,195, true,0, C, false, true,36.79,221.5,44.99,0,0,29.3,5.115,41.23,6.33,5.33,3.11311054,15.19898374,12.33,6,0,0,0,0, false,,+AC0-21.055,+AC0-2.4854,+AC0-26.12375208
 false,0,1,188, true,0, C, true, false,82.39,1072,84.99,0,0.24,29.36,5.1202,211.54,130.33,26.33,0.845230757,15.33165673,12.33,6,4.33,0,0,0, true,,+AC0-20.995,+AC0-2.4802,+AC0-25.99107909
 false,0,1,181, true,0, B, true, false,39.29,345.5,39.99,24.5,0.2,29.43,5.1508,155.34,27,7.67,3.603513514,15.4117211,12.33,6,0.33,0,0,0, false,,+AC0-20.925,+AC0-2.4496,+AC0-25.91101472
 false,7,1,195, true,0, C, false, true,113.07,764.5,95.19,113,0,29.475,5.1652,249.94,49.33,13,3.171844488,15.47373425,12.33,6,0.67,0,0,0, false,,+AC0-20.88,+AC0-2.4352,+AC0-25.84900157
 false,6,2,114, true,99.99, C, false, true,60.23,926.75,69.99,3.75,0,29.51,5.169,326.54,100,60.33,1.113833816,15.52202658,13,6,9.33,0,0,0, false,,+AC0-20.845,+AC0-2.4314,+AC0-25.80070924
 false,0,1,187, true,0, A, true, false,100.05,1213.5,53.46,90.5,7.89,29.61,5.1784,276.76,38.33,5,2.639664563,15.52801048,14,6,3.67,0,0,0, false,,+AC0-20.745,+AC0-2.422,+AC0-25.79472534
 false,2,1,182, true,0, C, false, true,75.49,399.75,79.99,38.75,0,29.69,5.1944,94.53,18.33,14.67,1.642366348,15.58922869,14,6,0,0,0,0, true,,+AC0-20.665,+AC0-2.406,+AC0-25.73350713
 false,0,1,194, true,0, C, true, false,92.29,790.25,102.29,0,0,29.8,5.1954,273.63,40.33,2.67,1.569325843,15.68820664,14.33,6,1,0,0,2, true,,+AC0-20.555,+AC0-2.405,+AC0-25.63452918
 false,0,1,190, true,0, B, true, true,47.6,447.5,42.53,18.5,0.93,29.81,5.1968,41.81,28.33,8.67,1.615821885,15.77576064,14.33,6,8,0,0,0, false,,+AC0-20.545,+AC0-2.4036,+AC0-25.54697518
 false,0,1,181, true,0, G, true, false,50.8,572.75,49.99,10.25,6.71,29.84,5.2158,73.23,3.67,0,0.793575738,16.16359511,15.33,6,2.67,0,0,0, false,,+AC0-20.515,+AC0-2.3846,+AC0-25.15914071
 false,0,1,190, true,0, C, true, false,28.74,766,30,1.25,3.51,29.94,5.232,69.75,44.67,8.33,0.37055814,16.231255,15.67,6,20,0,0,0, true,,+AC0-20.415,+AC0-2.3684,+AC0-25.09148082
 false,0,1,194, true,0, E, true, false,71.15,429.5,49.99,12.75,23.1,30.285,5.2362,40.85,34.33,0.33,4.143422354,16.31183156,16,6,9,0,0,0, false,,+AC0-20.07,+AC0-2.3642,+AC0-25.01090426
 false,5,1,181, true,0, G, true, true,61.66,592.5,57.49,35.75,0.16,30.48,5.248,124.87,11,0.33,0.975441176,16.31986594,16,6,1.33,0,0,0, true,,+AC0-19.875,+AC0-2.3524,+AC0-25.00286988
 false,2,1,191, true,0, C, false, true,34.37,239,39.99,11.75,0,30.48,5.2552,94.72,3.33,7.67,3.666818182,16.32380066,16,6,0,0,0,0, true,,+AC0-19.875,+AC0-2.3452,+AC0-24.99893516
 true,9,1,187, true,0, C, false, true,71.81,992.75,59.99,84.25,0,30.49,5.2572,197.88,97.33,2,1.561576355,16.37404055,16.33,6,4.67,1,1,0, false,,+AC0-19.865,+AC0-2.3432,+AC0-24.94869527
 true,3,2,79, true,149.99, C, false, true,79.81,2051.5,69.99,67.75,0,30.735,5.2574,144.24,58.33,21.67,0.481242956,16.43106422,16.67,6,17,0,0,0, false,,+AC0-19.62,+AC0-2.343,+AC0-24.8916716
 false,3,1,187, true,0, E, false, true,62.28,424.75,40.5,62.5,0,30.75,5.2822,132.08,41,60,2.609137931,16.455591,17.33,6,0.33,0,0,0, true,,+AC0-19.605,+AC0-2.3182,+AC0-24.86714482
 false,8,1,184, true,0, B, false, true,87.13,823.75,44.99,146.75,0.42,30.985,5.2862,207.3,83.33,9.67,1.017341542,16.47502762,17.33,6,0,0,0,0, false,,+AC0-19.37,+AC0-2.3142,+AC0-24.8477082
 false,6,2,125, false,29.99, C, false, true,160.19,1089,84.99,66.25,0,31,5.3074,122.63,33,0.67,3.007034968,16.48838235,17.67,6,0.33,0,0,0, true,,+AC0-19.355,+AC0-2.293,+AC0-24.83435347
 false,3,1,187, true,0, B, true, true,49.62,388.5,29.99,58,0,31.17,5.3122,67.6,43.67,19.33,0.82755767,16.54985635,18.33,6,4,0,0,1, true,,+AC0-19.185,+AC0-2.2882,+AC0-24.77287947
 false,6,1,184, true,0, B, false, true,35.89,366.5,52.49,0,0.59,31.2,5.3264,66.4,40.67,15.33,1.172166667,16.56968243,20,6,6,0,0,0, false,,+AC0-19.155,+AC0-2.274,+AC0-24.75305339
 false,0,1,193, true,0, C, true, false,35.98,1054.75,54.99,0.5,0,31.225,5.3526,131.89,25,6,0.345161045,16.63705284,21,6,2,0,0,3, true,,+AC0-19.13,+AC0-2.2478,+AC0-24.68568298
 false,0,1,190, true,0, B, true, false,40.34,570.5,54.99,7.25,0,31.255,5.3546,148.26,37.33,0,0.752529618,16.71222201,21.67,6,11.33,0,0,0, false,,+AC0-19.1,+AC0-2.2458,+AC0-24.61051381
 false,8,2,14, true,9.99, A, false, true,88.93,747,69.99,85.5,1.77,31.315,5.3604,258.64,8.67,0.67,2.082566372,16.7965125,21.67,6,0,0,0,0, false,,+AC0-19.04,+AC0-2.24,+AC0-24.52622332
 false,0,1,184, true,0, B, true, false,93.04,1182.25,94.99,7.25,1.8,31.45,5.3692,353.77,61.67,28.67,2.302124232,16.8020629,22,6,0,0,0,0, false,,+AC0-18.905,+AC0-2.2312,+AC0-24.52067292
 false,7,2,122, true,149.99, C, false, true,87.98,684,54.55,122.5,0,31.49,5.3708,197.29,29,3,1.293293666,16.81282601,23,6,1.67,0,0,0, false,,+AC0-18.865,+AC0-2.2296,+AC0-24.50990981
 false,2,1,185, true,0, B, false, true,114.13,1020.25,59.99,187,2.89,31.535,5.381,168.81,16.33,0,2.767414228,16.88303695,24.67,6,0.33,0,0,0, false,,+AC0-18.82,+AC0-2.2194,+AC0-24.43969887
 false,7,1,190, true,0, B, false, true,57.18,1052.5,59.99,6.5,0.1,31.56,5.3844,318.4,49.67,17.33,0.672434783,16.97403961,25,6,6,0,0,0, false,,+AC0-18.795,+AC0-2.216,+AC0-24.34869621
 false,4,1,184, true,0, C, false, true,37.9,241,54.99,0,0.1,31.665,5.3848,30.44,6,0.33,2.10330962,17.06766728,25,6,0.33,0,0,0, false,,+AC0-18.69,+AC0-2.2156,+AC0-24.25506854
 false,0,1,188, true,0, E, true, false,67.74,1058.75,82.73,0,0,31.705,5.392,286.27,59.33,18,1.599987234,17.09745527,25.67,6,7.33,0,0,0, true,,+AC0-18.65,+AC0-2.2084,+AC0-24.22528055
 true,5,1,194, true,0, C, false, true,240.6,1180.25,69.71,361.25,21.32,31.805,5.41,310.52,52.33,10,3.525194023,17.11029105,26,6,2,0,0,3, true,,+AC0-18.55,+AC0-2.1904,+AC0-24.21244477
 false,7,1,188, true,0, D, false, true,81.71,1753,76.12,48,0,31.91,5.4134,464.81,164.33,59.67,0.608189495,17.14443456,26.33,6,9,0,0,0, false,,+AC0-18.445,+AC0-2.187,+AC0-24.17830126
 true,4,2,182, true,129.99, B, false, true,122.92,1308.25,69.99,151.5,1.07,31.91,5.423,407.75,74,31.67,0.637859346,17.19637089,27.33,6,5.33,0,0,3, true,,+AC0-18.445,+AC0-2.1774,+AC0-24.12636493
 false,0,1,191, true,0, B, true, false,52.92,804.25,59.99,0,0,31.91,5.4382,149.38,13.67,1.67,0.975408828,17.24915551,27.33,6,1,0,0,0, true,,+AC0-18.445,+AC0-2.1622,+AC0-24.07358031
 false,0,2,122, true,149.99, B, true, false,48.36,979.25,46.28,27,0,31.97,5.4424,186.78,64.67,16,0.579141414,17.26894019,27.33,6,7,0,0,0, false,,+AC0-18.385,+AC0-2.158,+AC0-24.05379563
 true,6,1,194, true,0, B, false, true,103.68,981.75,49.35,175,4.78,32.065,5.4622,283.44,36.33,16.33,1.931119946,17.27872945,28.67,6,4.67,0,0,0, false,,+AC0-18.29,+AC0-2.1382,+AC0-24.04400637
 false,4,1,183, true,0, C, false, true,10.74,186.5,10,0,0,32.1,5.466,26.8,17.33,3.33,1.064516129,17.33583767,29,6,0,0,0,0, false,,+AC0-18.255,+AC0-2.1344,+AC0-23.98689815
 true,7,2,172, true,149.99, D, false, true,54.49,411.75,69.99,0,0,32.155,5.4686,119.55,36.67,0,1.135494505,17.3648532,29.67,6,0,0,0,0, true,,+AC0-18.2,+AC0-2.1318,+AC0-23.95788262
 true,7,1,188, true,0, B, false, true,35.4,929.5,44.99,0,0.1,32.17,5.5218,277.36,68.33,30.33,0.555912505,17.38364873,32.33,6,0,0,0,0, false,,+AC0-18.185,+AC0-2.0786,+AC0-23.93908709
 false,0,1,185, true,0, B, true, false,72.91,687,69.99,30.5,0,32.4,5.5248,31.74,21,0.67,1.67543347,17.42559865,32.67,6,0,0,0,2, false,,+AC0-17.955,+AC0-2.0756,+AC0-23.89713717
 false,0,2,158, true,149.99, D, true, false,69.09,416,54.31,29.5,2.93,32.675,5.528,84.13,26,1.67,1.333387097,17.43924593,35.33,6,18.33,0,0,0, false,,+AC0-17.68,+AC0-2.0724,+AC0-23.88348989
 false,7,1,195, true,0, C, false, true,116.17,766.75,47.49,69.75,0.52,32.775,5.5288,148.51,76,6.67,0.779415009,17.50720282,36,6,4.67,0,0,1, true,,+AC0-17.58,+AC0-2.0716,+AC0-23.815533
 false,0,1,191, true,0, C, true, false,69.53,877.25,47.53,80,0,32.785,5.5312,322.61,44,13.33,0.662337662,17.53510375,37,6,2,0,0,3, false,,+AC0-17.57,+AC0-2.0692,+AC0-23.78763207
 false,0,1,186, true,0, E, true, true,69.71,608.75,49.99,98.5,0,32.885,5.5364,160.62,39.67,11.67,0.720538462,17.60098729,38.33,6,9.33,1,1,2, false,,+AC0-17.47,+AC0-2.064,+AC0-23.72174853
 false,0,1,188, true,0, B, true, false,54.24,879.75,46.37,42.5,0.16,32.885,5.5536,266.02,85.33,36.33,0.606816764,17.601969,39.33,6,14,0,0,0, true,,+AC0-17.47,+AC0-2.0468,+AC0-23.72076682
 false,0,2,75, true,129.99, G, true, false,199.12,1394.25,48.87,352.5,0,32.905,5.5552,320.8,57.67,36,0.805802752,17.6196605,41.33,6,5.33,0,0,0, true,,+AC0-17.45,+AC0-2.0452,+AC0-23.70307532
 false,6,1,181, true,0, B, false, true,75.1,748.5,44.99,111,0.94,32.945,5.5554,132.48,80.67,21,1.664356114,17.63687804,44,6,3,0,0,0, true,,+AC0-17.41,+AC0-2.045,+AC0-23.68585778
 false,7,1,182, true,0, B, false, true,57.71,913,44.99,38.25,6.03,32.965,5.5598,170.55,58.33,12.33,0.836251503,17.70654087,48.33,6,5.33,0,0,0, false,,+AC0-17.39,+AC0-2.0406,+AC0-23.61619495
 false,6,1,184, true,0, B, false, true,30.01,967.5,10,40.75,0,33.085,5.5608,72.88,12,11.33,1.145623999,17.73143229,48.67,6,0,0,0,0, true,,+AC0-17.27,+AC0-2.0396,+AC0-23.59130353
 false,4,2,191, true,99.99, D, false, false,123.22,2023,94.99,130.25,0.1,33.185,5.5684,207.22,43,3.67,1.601646341,17.76028017,62.67,6,8,0,0,0, false,,+AC0-17.17,+AC0-2.032,+AC0-23.56245565
 true,9,3,68, true,149.99, E, true, false,152.72,1622,104.99,238.75,3.03,33.195,5.5712,307.45,61.33,9.33,3.436708861,17.81405774,71.33,6,7,0,0,0, false,,+AC0-17.16,+AC0-2.0292,+AC0-23.50867808
 false,0,1,195, true,0, B, true, false,73.39,1662,60.11,33.5,0,33.285,5.5732,436.17,86,8.67,0.588983214,17.83616358,83.33,6,10,0,0,0, true,,+AC0-17.07,+AC0-2.0272,+AC0-23.48657224
 true,7,1,191, true,0, C, false, true,92.51,581.75,42.66,161.5,0.29,33.345,5.5738,112.81,1.33,1.33,2.433809524,17.98840712,93.67,6,0,0,0,0, false,,+AC0-17.01,+AC0-2.0266,+AC0-23.3343287
 false,5,3,2, true,199.99, C, false, true,74.39,1058.25,49.99,75.75,0.16,33.36,5.581,304.84,70.67,54.67,0.564411765,18.13472381,111.33,6,0,0,0,0, false,,+AC0-16.995,+AC0-2.0194,+AC0-23.18801201
 false,0,1,187, true,0, E, true, false,82.08,1019.75,64.99,60,0,33.4,5.5844,119.34,62.67,1.33,0.490804668,18.25284244,131.33,6,21.33,0,0,0, true,,+AC0-16.955,+AC0-2.016,+AC0-23.06989338
 false,8,3,83, true,99.99, B, false, false,248.37,2030,135.82,194.25,31.87,33.48,5.6006,194.72,34,2,1.264447046,18.30483871,159.33,6,4,0,0,0, true,,+AC0-16.875,+AC0-1.9998,+AC0-23.01789711
 true,8,2,208, true,129.99, C, false, true,10,48,10,0,0,33.515,5.6114,0,0,0,0.89,18.31732948,0,7,0,0,0,0, false,,+AC0-16.84,+AC0-1.989,+AC0-23.00540634
